"id","code","name","parent_id","enabled","dest"
1,"A","综合",,1,
2,"B","农业、林业",,1,
3,"C","医药、卫生、劳动保护",,1,
4,"D","矿业",,1,
5,"E","石油",,1,
6,"F","能源、核技术",,1,
7,"G","化工",,1,
8,"H","冶金",,1,
9,"J","机械",,1,
10,"K","电工",,1,
11,"L","电子元器件与信息技术",,1,
12,"M","通信、广播",,1,
13,"N","仪器、仪表",,1,
14,"P","工程建设",,1,
15,"Q","建材",,1,
16,"R","公路、水路运输",,1,
17,"S","铁路",,1,
18,"T","车辆",,1,
19,"U","船舶",,1,
20,"V","航空、航天",,1,
21,"W","纺织",,1,
22,"X","食品",,1,
23,"Y","轻工、文化与生活用品",,1,
24,"Z","环境保护",,1,
25,"A00/09","标准化管理与一般规定",1,1,
26,"A10/19","经济、文化",1,1,
27,"A20/39","基础标准",1,1,
28,"A40/49","基础学科",1,1,
29,"A50/64","计量",1,1,
30,"A65/74","标准物质",1,1,"综合性标准样品入此，专业标准样品入各专业类。"
31,"A75/79","测绘",1,1,
32,"A80/89","标志、包装、运输、贮存",1,1,
33,"A90/94","社会公共安全",1,1,
34,"A00","标准化、质量管理",25,1,"标准化工作法规、导则，质量监督法规、导则，产品质量认证制度等。"
35,"A01","技术管理",25,1,"技术文件管理，能源管理，设备、工具管理等。"
36,"A02","经济管理",25,1,
37,"A10","商业、贸易、合同",26,1,"商业、贸易、商检与合同等。"
38,"A11","金融、保险",26,1,"银行工作、会计制度、证券格式、货币、规范、信贷、信托等。"
39,"A12","供应与使用关系",26,1,"消费者标准等。"
40,"A13","文件格式",26,1,"证件、行政文件、表格、卡片等。"
41,"A14","图书馆、档案、文献与情报工作",26,1,"收集、加工、报道、服务和管理等。包括自动化处理，手工、机器检索，机器翻译以及缩微技术。缩微设备入N47。"
42,"A15","电影与摄影技术",26,1,"术语、设计、工艺试验方法质量评定、电影与摄影技术等。电影胶片、照相胶卷入G80/81，照相级化学药品入G84/85，电影与摄影设备入N40/44和N46。电光源入K71。"
43,"A17","印刷技术",26,1,"印刷材料入此。印刷机械入J87。"
44,"A18","教育、学位、学衔",26,1,
45,"A19","编辑、出版",26,1,"文字、印刷符号、校对符号、出版规定等。"
46,"A20","综合技术",27,1,"优先数与优先数系统、抽样、价值工程等。"
47,"A21","环境条件与通用试验方法",27,1,"环境条件分级入此。"
48,"A22","术语、符号",27,1,"术语编制原则，通用的术语、图形符号、文字符号等。"
49,"A24","分类编码",27,1,"国家、部门、行业、职业、产品、文献等的分类编码。"
50,"A25","人类工效学",27,1,
51,"A26","颜色",27,1,"安全色入此。"
52,"A28","筛分、筛板与筛网",27,1,"术语、系列等。"
53,"A29","材料防护",27,1,"金属、非金属材料防护（如电镀、涂装等）及其试验方法等。"
54,"A31","爆破技术",27,1,"定向爆破、微型爆破、爆炸成型、震源射孔、切割等。"
55,"A40","基础学科综合",28,1,
56,"A41","数学",28,1,"数理统计方法等。"
57,"A42","物理学与力学",28,1,"热与热力学、光学、流体力学、空气力学、声学与振动、电学、磁学等。摩擦、磨损入此。"
58,"A43","化学",28,1,"基本化学分析方法等。"
59,"A44","地球科学",28,1,
60,"A45","海洋学",28,1,"术语、水文、气象等海洋要素分析，海洋规范、监测、环境资料标准等。"
61,"A46","天文学",28,1,"时间表示法等。"
62,"A47","气象学",28,1,"大气标准、气象灾害等。"
63,"A50","计量综合",29,1,"术语、符号、测量技术的基本规定等。"
64,"A51","量和单位",29,1,"量和单位的名称、符号、定义等。换算值入此。"
65,"A52","长度计量",29,1,"长度、角度基准、主要用于标准器的计量器具及检定装置等。直尺、卷尺等入此。"
66,"A53","力学计量",29,1,"力学基准、主要用于标准器的计量器具及检定装置等。杠杆式衡器、秤具入此。电子秤入N13。"
67,"A54","热学计量",29,1,"热学基准、主要用于标准器的计量器具及检定装置等。"
68,"A55","电磁计量",29,1,"电磁基准、主要用于标准器的计量器具及检定装置等。"
69,"A56","无线电计量",29,1,"无线电基准、主要用于标准器的计量器具及检定装置等。"
70,"A57","时间、频率计量",29,1,"时间、频率基准，主要用于标准器的计量器具及检定装置等。"
71,"A58","电离辐射计量",29,1,"电离辐射基准、主要用于标准器的计量器具及检定装置等。"
72,"A59","声学计量",29,1,"声学基准、主要用于标准器的计量器具及检定装置等。"
73,"A60","光学计量",29,1,"光学基准、主要用于标准器的计量器具及检定装置等。"
74,"A61","化学计量",29,1,"化学基准、主要用于标准器的计量器具及检定装置等。"
75,"A65","金属化学成分标准物质",29,1,
76,"A66","非金属化学成分标准物质",30,1,"用于非金属化学成分分析仪器的校准，分析方法的评价，以统一量值的物质或材料。"
77,"A67","物理特性标准物质",30,1,"用于物理特性测量仪器的校准，测量方法的评价，以统一量值的物质或材料。"
78,"A68","物理化学特性标准物质",30,1,"用于物理化学特性测量仪器的校准，测量方法的评价、以统一量值的物质或材料。"
79,"A69","工程技术特性标准物质",30,1,"用于工程技术测量设备的校准，测量方法的评价，以统一量值的物质或材料。"
80,"A75","测绘综合",31,1,"术语、符号等。"
81,"A76","大地、海洋测绘",31,1,"天文、基线、三角（边）、空间、导线、水准、重力等测量及平差计算，海道测量，海底地形测量，海深测量等。"
82,"A77","摄影与遥感测绘",31,1,"航空摄影、遥感测绘等。"
83,"A78","精密工程与地籍测绘",31,1,"精密工程测量、变形观测、平板仪测量、地形测量、地籍控制测量、地址点测量、地籍碎部点测量等。"
84,"A79","地图制印",31,1,"图式、编绘、制印及地名标准化等。"
85,"A80","标志、包装、运输、贮存综合",32,1,
86,"A82","包装材料与容器",32,1,"通用的金属与非金属材料瓶、罐、桶、袋等。麻袋入W33，一般用瓶罐入Y22/29。"
87,"A83","包装方法",32,1,"堆码、跌落、冲击、渗漏、压力、防水等试验方法入此。"
88,"A84","包装工具",32,1,"包装机械入J83。"
89,"A85","集装箱、托盘、货架",32,1,"集装箱的分类、系列、角装置及试验方法，托盘、货架型式尺寸等。集装箱、托盘、货架的维护修理入此。集装箱汽车入T57，集装箱船入U13，装卸机械入J83。"
90,"A87","运输、贮存",32,1,"运输、仓库物品贮存及贮存过程中共性条件规定（如国际联运、铁路、公路、水运、航空联运等）等。"
91,"A88","包装印包、铅封、贴标",32,1,
92,"A90","社会公共安全综合",33,1,"社会公共安全法规，户籍等特殊证件管理、电子计算机与信息安全管理，基础标准等。"
93,"A91","安全防范报警系统",33,1,"监控系统、报警控制器、探测器、防盗报警装置、安全检查、防爆器设备等。"
94,"A92","犯罪鉴定技术",33,1,"刑事犯的人、事物、时间、空间组成的信息物证、毒物、血清、物化分析方法和技术等。"
95,"A94","警用装备与器械",33,1,"警用装备、被装，警用电击器、手铐等。"
96,"B00/09","农业、林业综合",2,1,"用于生产、流通过程中保证符合文字标准要求的农业、林业标样分别入本类各有关类目。"
97,"B10/14","土壤与肥料",2,1,
98,"B15/19","植物保护",2,1,
99,"B20/29","粮食与饲料作物",2,1,
100,"B30/39","经济作物",2,1,
101,"B40/49","畜牧",2,1,
102,"B50/59","水产、渔业",2,1,
103,"B60/79","林业",2,1,
104,"B90/99","农、林机械与设备",2,1,"拖拉机入T60/69。"
105,"B00","标准化、质量管理",96,1,"标准化工作法规、导则，质量监督法规、导则，产品质量认证制度等。"
106,"B01","技术管理",96,1,"技术文件管理、能源管理，设备、工具管理等。"
107,"B02","经济管理",96,1,"计划、供销、财务、劳资管理等。"
108,"B04","基础标准与通用方法",96,1,"术语、符号、取样、制样方法，通用试验方法等。"
109,"B05","农林技术",96,1,"栽培、机械化操作技术、田间管理等。飞机播种、治虫、护林作业技术入V53。"
110,"B07","电子计算机应用",96,1,"耕作手势入此。"
111,"B08","标志、包装、运输、贮存",96,1,
112,"B09","卫生、安全、劳动保护",96,1,
113,"B10","土壤、肥料综合",97,1,"术语，符号，分类，取样、分析方法等。"
114,"B11","土壤、水土保持",97,1,
115,"B13","肥料与土壤调理剂",97,1,"有机肥源、堆肥、绿肥、施肥方法等。化学肥料与化工产品土壤调理剂入G20/21。"
116,"B15","植物保护综合",98,1,"术语，符号，分析、试验方法等。"
117,"B16","植物检疫、病虫害防治",98,1,"灾害与预测等。"
118,"B17","农药管理与使用方法",98,1,"农药制造入G23/25。"
119,"B18","农业气象",98,1,
120,"B20","粮食、饲料作物综合",99,1,"术语、符号、代号、取样方法、分析方法、运输贮存等。"
121,"B21","种籽与育种",99,1,"品种、选种等。牧草种子入此。"
122,"B22","禾谷类作物与产品",99,1,"谷、稻、麦、玉米、高梁等。粮食加工品入X11。"
123,"B23","豆类、薯类作物与产品",99,1,"豆类加工品入X11。"
124,"B25","饲料作物",99,1,"牧草、青饲料等。"
125,"B30","经济作物综合",100,1,"术语、符号、取样方法、分析方法等。"
126,"B31","瓜果、蔬菜种植与产品",100,1,"坚果入B66，蔬菜加工制品入X26。"
127,"B32","纤维作物与产品",100,1,"棉、麻等。"
128,"B33","油料作物与产品",100,1,"木本油料作物入B66。食用油料加工制品入X14。"
129,"B34","搪料作物与产品",100,1,"甘蔗、甜菜等。制糖及糖制品入X30/34。"
130,"B35","烟草、饮料作物与产品",100,1,"烟草加工与制品入X85/89，茶叶制品入X55。"
131,"B36","香料、佐料作物与产品",100,1,"香茅草、姜等。"
132,"B38","药用植物与产品",100,1,"人参、天麻、当归等。"
133,"B39","其他经济作物",100,1,"木耳、蘑菇（包括天然人工培植）等。"
134,"B40","畜牧综合",101,1,"术语、符号、分析方法等。草原、草场标准入此。"
135,"B41","动物检疫、兽医与疫病防治",101,1,
136,"B42","兽医与畜牧、兽医用器械",101,1,
137,"B43","家畜、家禽",101,1,"畜禽饲养繁殖技术、品种、种畜、种禽等。"
138,"B44","饲养动物",101,1,"药用动物、食用动物、科学试验用动物、经济动物、观赏动物等。"
139,"B45","畜、禽产品",101,1,"饲养、野生畜禽的原毛、生皮、鬃、肠衣等。"
140,"B46","畜禽饲料与添加剂",101,1,"各种配合、混合饲料及添加剂（鱼、磷、钙粉等）。"
141,"B47","养蜂、养蚕",101,1,"养蜂、养蚕技术，初加工产品、以及器具等。"
142,"B50","水产、渔业综合",102,1,"术语、符号、代号、分类、检验方法等。"
143,"B51","海水养殖与产品",102,1,"水产再加工品入X类。"
144,"B52","淡水养殖与产品",102,1,"水产再加工品入X类。"
145,"B53","水产品保鲜",102,1,"各种水产品保鲜与加工设备入此。冷冻、冷藏设备入J73。"
146,"B54","渔业饲料",102,1,"饵料与添加剂入此。"
147,"B56","水产、渔业用器具",102,1,"各种网具、钓具、线、绳等。"
148,"B60","林业基础标准与通用方法",103,1,"术语、通用试验方法等。"
149,"B61","种子、苗木、苗圃",103,1,"林木种子等级、区划、贮藏采种技术规程、良种繁育与鉴定推广、适宜种源区划、种苗规程、育苗技术、苗木栽培鉴定，苗木质量、产量标准，总体规划等。"
150,"B62","观赏植物",103,1,"花卉等。"
151,"B64","森林经营技术",103,1,"连生丰产林，农田防护林，防沙林，海岸防护林，水源涵养林，森林更新技术，低产林改造、间伐技术，组织经营技术等。"
152,"B65","森林资源保护",103,1,"资源调查，资源区划，防治病虫害，野生动物、植物保护等。"
153,"B66","经济林与副产品",103,1,"木本粮油林、糖料林、香料林、调料林、工业原料林（如：橡胶林、紫胶、白蜡、五倍子）等。"
154,"B67","原竹与竹材",103,1,
155,"B68","原条与原木",103,1,"原条、原木材积麦、材质、等级及尺寸要求，木材缺陷，区界符号，采伐运输作业管理等。"
156,"B69","木材加工材",103,1,"普通锯材、特殊用途锯材、木制半成品材等。"
157,"B70","人造板",103,1,"胶合板、纤维板、刨花板、复合板、人造板二次加工产品，塑料贴面板等。"
158,"B71","木材竹材防腐",103,1,"防腐技术、产品质量等。"
159,"B72","林产化工原料",103,1,"天然树脂、天然胶、天然漆、天然樟脑、天然色素、天然单宁、木本油脂、木本香料、松香、松节油及其初加工产品。"
160,"B73","木炭",103,1,"木材热解产品入G16。"
161,"B90","农、林机械与设备",104,1,"术语、符号、分类、命名、参数、检验通则、操作规则、试验方法、农林机械维修等。"
162,"B91","农机具",104,1,"耕整、种植、植保、收获、场上作业、排罐、农田建设等机械。通用泵入J71。"
163,"B92","畜牧、家禽机械与设备",104,1,"饲养、禽畜、畜产品采集、加工等机械。"
164,"B93","农副产品与饲料加工机械",104,1,
165,"B94","渔业机械与设备",104,1,"捕捞、养殖机械设备，渔业用仪器等。渔船入U15。"
166,"B95","营林机械与机具",104,1,"种苗、林地清理、造林、中幼林抚育、土壤改良等机械和机具。草原机具入此。"
167,"B96","木材采运机械与设备",104,1,"采伐、集运、贮木场造选归装作业等设备。林区铁路入S类，木材运输专用汽车入T55。"
168,"B97","锯材、人造板机械与设备",104,1,"胶合板、纤维板、刨花板、木片等用的机械设备。通用木工机床、机用工具入J65。手工工具入J47。电动工具入K64。"
169,"C00/09","医药、卫生、劳动保护综合",3,1,"用于生产、流通过程保证符合文字标准要求的医药、卫生标样分别列入本类各有关类目。"
170,"C10/29","医药",3,1,"兽用药及兽医入B42。放射性药品入F54。"
171,"C30/49","医疗器械",3,1,"兽用医疗器械入B42。"
172,"C50/64","卫生",3,1,
173,"C65/74","劳动安全技术",3,1,
174,"C75/79","劳动保护管理",3,1,
175,"C80/89","消防",3,1,
176,"C90/99","制药、安全机械与设备",3,1,
177,"C00","标准化、质量管理",169,1,"标准化工作法规、导则，质量监督法规、导则，产品质量认证制度等。"
178,"C01","技术管理",169,1,"技术文件管理，能源管理，设备、工具管理等。"
179,"C02","经济管理",169,1,"计划、供销、财务、劳资管理等。"
180,"C04","基础标准与通用方法",169,1,
181,"C05","医学",169,1,"基础、临床、预防、航空、航天医学等。"
182,"C06","法医",169,1,"法医技术与器材等。"
183,"C07","电子计算机应用",169,1,
184,"C08","标志、包装、运输、贮存",169,1,
185,"C10","医药综合",170,1,"术语、命名、红外图谱集、制剂通则、通用检验和测定方法等。"
186,"C11","中国药典及成册药品标准",170,1,"成册药品的行业、地方标准入此。"
187,"C12","抗生素类药",170,1,"原料药与制剂等。"
188,"C13","磺胺、抗结核与其他抗感染药",170,1,"原料药与制剂等。"
189,"C14","解热镇痛、麻醉与中枢神经系统用药",170,1,"原料药与制剂等。"
190,"C15","激素、计划生育、抗肿瘤药与免疫抑制药",170,1,"原料药与制剂等。"
191,"C16","抗寄生虫、抗组胺、地方病药与解毒药",170,1,"原料药与制剂等。"
192,"C17","心血管、呼吸与，血液系统用药",170,1,"原料药与制剂等。"
193,"C18","消化、泌尿系统与调节酸碱平衡用药",170,1,"原料药与制剂等。"
194,"C19","诊断用药，外用消毒药与五官科、皮肤科用药",170,1,"医用同位素入F54。"
195,"C20","维生素类、滋补营养、氨基酸、酶类药与其他生化药品",170,1,
196,"C21","制剂用辅料与其他",170,1,"稳定剂、抗氧剂、防腐剂、赋形剂等。"
197,"C23","中药材",170,1,"根、根茎、叶、花、果实、全草、种子、皮、藤木、树脂、藻菌、动物、昆虫、矿物等。"
198,"C25","中药制剂",170,1,"蜜丸剂、水丸剂、散、片、膏（剪膏、蜜膏、浸膏）、糖浆、酊剂与注射剂、药酒等。"
199,"C27","生物制品与血液制品",170,1,"血清、疫苗、菌苗及血液制品等。"
200,"C30","医疗器械综合",171,1,"术语、符号、代号、分类、命名、通用的试验方法，技术条件及零部件，工艺与工艺装备等。"
201,"C31","一般与显微外科器械",171,1,"基本外科、烧伤外科、神经外科、显微器械及注射穿刺输液器械等。"
202,"C32","眼科与耳鼻咽喉科手术器械",171,1,
203,"C33","口腔科器械、设备与材料",171,1,"口腔科治疗、手术、整形用器械和设备，牙科修复、充填、金属整矫印模材料等。"
204,"C35","矫形外科、骨科器械",171,1,"骨科器械（刀、剪、钳、镊等），安装器械，埋入器械，矫形器械等。"
205,"C36","其他专科器械",171,1,"计划生育、妇产科、儿科器械等，胸腔心血管外科、腹部外科、泌尿肛肠外科器械及中医器械等。"
206,"C37","医疗设备通用要求",171,1,"术语、符号、代号等。"
207,"C38","普通诊察器械",171,1,"体温、血压、听诊、呼吸等诊察器械及反光器具等。"
208,"C39","医用电子仪器设备",171,1,"电生理与非电参数检测仪，生理记录、监护、运动试验装置等。通用电子仪器入N33。"
209,"C40","医用光学仪器设备与内窥镜",171,1,"眼科仪器，纤维、硬管内窥镜，直观窥镜等。显微镜入N33。"
210,"C41","医用超声、激光、高频仪器设备",171,1,"超声、激光诊断、治疗设备、高频电刀设备等。"
211,"C42","理疗与中医仪器设备",171,1,"电疗、磁疗、光疗、浴疗、体疗等理疗仪器设备，中医电针、针麻、刺激仪器等。"
212,"C43","医用射线设备",171,1,"医用X线设备，同位素诊断、治疗设备，检测防护装置等。"
213,"C44","医用化验设备",171,1,"医用加速器入F91，医用同位素入F54。医用化验设备（细胞离心、细菌培养等），生化分析仪，血液化验器具与设备，病理学化验设备，纯水设备等。"
214,"C45","体外循环、人工脏器、假体装置",171,1,"助听器入L31。"
215,"C46","手术室设备",171,1,"手术台、床、椅设备，麻醉呼吸设备，吸引冲洗设备，急救设备等。医用照明灯具入K73。"
216,"C47","公共医疗设备",171,1,"病房、普查、救护、防疫、消毒与医用冷冻设备等。通用冷冻设备入J73。医用汽车入T56。"
217,"C48","医用卫生用品",171,1,"医用膏布、敷料、卫生用品、缝合线、导管等。橡胶、胶乳制品入G45。"
218,"C50","卫生综合",172,1,"术语、符号，通用试验方法、生物监测、食品企业工艺卫生规范等。"
219,"C51","环境卫生",172,1,"大气、水体、土壤中有害物质卫生指标、要求，城市区域规划、公共设施卫生指标要求及监测方法等。日用化学品卫生指标及监测方法入此。"
220,"C52","劳动卫生",172,1,"车间、厂矿的生物、化学、物理性危害指标要求及监测方法等。"
221,"C53","食品卫生",172,1,"食品卫生及包装材卫生指标和要求，及其监测、管理方法等。"
222,"C54","食品添加剂、营养强化剂卫生",172,1,"添加剂营养强化在食品中的限量值和使用范围及其监测方法等。"
223,"C55","营养卫生",172,1,"营养指标、要求及其监测管理方法等。"
224,"C56","学校卫生",172,1,"对学生有碍健康因素的指标、要求及监测方法等。"
225,"C57","放射卫生防护",172,1,"放射卫生防护指标、要求及监测方法等。"
226,"C60","职业病诊断标准",172,1,"尘肺、职业中毒等职业因素所导致疾病的诊断标准。放射性疾病诊断标准入此。"
227,"C61","公害病诊断标准",172,1,"受自然环境污染、食品中毒所致疾病的诊断标准。"
228,"C62","卫生检疫",172,1,"航空、陆路等国境检疫。"
229,"C63","妇幼卫生、计划生育技术",172,1,
230,"C65","劳动安全技术综合",173,1,"术语、符号，通用试验方法、色灯、手示、旗语、哨声、安全信号等。"
231,"C66","安全控制技术",173,1,"物体、机械、电力、起重等伤害，淹溺、灼烫、高空坠落、坍塌、装卸、运输、静电控制等安全技术设施。"
232,"C67","工厂防火防爆安全技术",173,1,"安全技术规程，可燃性气体、液体、粉尘分级，易燃、易爆物分级，防爆、防火措施，明火、动火管理，水灾危险性气体整体设施等。"
233,"C68","生产设备安全技术",173,1,"通则，危险设备分级和安全使用规则，制造、检验、维护安全规程，特殊机电产品安全要求等。"
234,"C69","防护设备的安全要求",173,1,"粉尘、毒气净化设备与躁声、激光控制设备在设计、制造、使用方面的安全要求，及其试验条件与方法等。"
235,"C70","工业防尘防毒技术",173,1,"尘毒气体危害程度分级、分类、标定原则，通风除尘、排毒，自然、机械通风分级与技术措施等。"
236,"C71","工业物理因素危害控制",173,1,"物理因素危害分类、分级和标定，采暖、防潮技术措施，噪声、振动、激光、紫外线、射频辐射的防护、隔离、屏蔽措施等。"
237,"C72","生产环境安全卫生设施",173,1,"生产场所、厂区环境安全卫生管理规范，作业安全，卫生通则，生产环境、劳动条件分类、分级和要求，安全标志、通道、间距等。"
238,"C73","劳动防护用品",173,1,"各种防护用品（如安全带、帽等）的设计、制造要求、使用、试验方法等。"
239,"C75","劳动保护管理综合",174,1,"事故性质、分类、范畴、形态、频率，事故危险程度判定，事故隐患检定，工厂事故危险预测方法，事故原因调查、分析、统计及经济损失计算等。"
240,"C76","工时、休假与女工、未成年工保护",174,1,"劳动时间、倒班制、有毒害工种的缩短工时间、定期轮换制，劳动休假制度以及女工、未成年工特殊保护规定等。"
241,"C77","安全卫生技能考核",174,1,"安全卫生技能管理、评价与考核，特殊工种分类、管理及审定条件等。"
242,"C78","安全卫生管理",174,1,"压力机、起重机械、压力容器等特种设备在设计、制造、检验、使用的管理规程，冶金、石油化工、工程建设等行业安全卫生规定等。"
243,"C80","消防综合",175,1,"术语、符号、代号、分类、基础标准与通用方法、计算方法等。"
244,"C81","火警监视、报警与消防调度系统",175,1,"火警监督、辅助防护信号、消防调度系统等。各种火灾报警器如此。"
245,"C82","防火技术",175,1,"建筑、石油化工、电气设备、交通运输、森林、矿井等火灾预防技术。"
246,"C83","灭火技术",175,1,"灭火技术，固定灭火、抑爆系统，消防供水技术等。"
247,"C84","消防设备与器材",175,1,"消防车、船、飞机等装设的灭火设备与器材，消防用灭火器、水带、消火栓、灭火药剂、阻火材料等。"
248,"C85","消防救生、辅助工具",175,1,"消防用安全带、防毒面具、救生绳、服装、鞋、帽及破拆工具等。"
249,"C90","制药、安全机械与设备综合",176,1,"术语，分类，型号，试验方法，工装，通用零部件。"
250,"C91","原料药加工机械与设备",176,1,"发酵罐，反应罐以及结晶、过滤、分离、干燥、提取等设备。"
251,"C92","制药加工机械与设备",176,1,"压片、搪衣、胶囊分装、洗瓶机械与消毒灭菌装置等。"
252,"C93","药材采取与中药加工机械",176,1,"炒药、切药、配方机械等。"
253,"C94","制药安全监测仪器",176,1,"有毒气体、悬浮物、防火、防爆及物理因素危害等监测仪器。通用分析仪器入N50/59。"
254,"C95","药品检验仪器",176,1,"通用仪器入N类。"
255,"D00/09","矿业综合",4,1,"用于生产、流通过程中保证符合文字标准要求的矿产品标样分别入本类各类目。矿山铁路入S类。"
256,"D10/19","地质矿产勘察与开发",4,1,"油气田勘察与开发入E10/19。"
257,"D20/29","固体燃料矿",4,1,"品位、储量及其分析方法分别入各矿产品类。"
258,"D30/39","黑色金属矿",4,1,"品位、储量及其分析方法分别入各矿产品类。烧结矿、球团矿入H31。"
259,"D40/49","有色金属矿",4,1,"品位、储量及其分析方法分别入各矿产品类。"
260,"D50/59","非金属矿",4,1,"品位、储量及其分析方法分别入各矿产品类。"
261,"D80/89","地质勘探设备",4,1,"通用仪器仪表入N91，凿岩机械入J84，通用运输、提升机械入J81。"
262,"D90/99","矿山机械设备",4,1,
263,"D00","标准化、质量管理",255,1,"标准化工作法规、导则，质量监督法规、导则，产品质量认证制度等。"
264,"D01","技术管理",255,1,"技术文件管理，能源管理，设备、工具管理等。"
265,"D02","经济管理",255,1,"计划、供销、财务、劳资管理等。"
266,"D04","基础标准与通用方法",255,1,"术语、符号、取样、制样方法，矿产品种与分级等。"
267,"D07","计算机应用",255,1,
268,"D08","标志、包装、运输、贮存",255,1,
269,"D09","卫生、安全、劳动保护",255,1,"矿山安全标志，防火、灭火，矿山净化，瓦斯预测、抽放及爆炸处理等。矿山防爆灯入K35。"
270,"D10","地质矿产勘察与开发综合",256,1,"术语，符号，分类，区域地质调查，地形测量，编图，质量规范等。泥浆入此。"
271,"D11","固体燃料矿产勘察",256,1,"煤矿、油页岩普查勘探规范等。"
272,"D12","金属矿产勘察",256,1,"金属矿、放射性矿普查勘探规范等。"
273,"D13","非技术矿产勘察",256,1,"非金属矿普查勘探规范等。"
274,"D14","水文地质勘察",256,1,"水文地质、地热资源普查勘探规范，区域工程地质调查，编图等。"
275,"D15","采矿",256,1,"各矿种采矿规范等。"
276,"D16","选矿",256,1,"实验室矿物分选、矿山生产选矿规范等。煤炭筛选、洗煤规范入此。"
277,"D18","矿山运输",256,1,"矿山铁路运输入S94。"
278,"D20","固体燃料矿综合",257,1,"术语，符号，分类，取样、制样方法等。"
279,"D21","煤炭分析方法",257,1,"分析、测定、试验方法，检验规则等。"
280,"D22","车船、煤气用煤",257,1,"机车、船舶、发生炉煤气用煤等。"
281,"D23","电站、工业锅炉用煤",257,1,
282,"D24","炼焦、化工、建材用煤",257,1,"冶金煤、铸造焦、合成焦、水泥窑、电石用煤等。"
283,"D26","煤岩",257,1,
284,"D27","选煤",257,1,"煤炭可选性、可浮性，浮选药剂，重介质，选煤试验方法及工业用型煤等。"
285,"D28","油页岩",257,1,
286,"D30","黑色金属矿综合",258,1,"术语，取样、制样方法等。"
287,"D31","铁矿",258,1,"原矿石、精矿等。硫铁矿入D51。"
